page_title	class	page_len	page_latest
Emerson_Drive	C	22533	717440994
Film_career_of_Frank_Sinatra	C	41111	718046207
Frank_Arsenault	C	15012	666035303
George_Vern_Barnett	C	8345	717688464
Giles_Martin	C	6069	718959015
Grizzly_Bear_(band)	C	20972	718903291
Hank_Garland	C	8784	708706724
Hitomi_Takahashi_(singer)	C	13457	716167026
Isaiah_Rashad	C	21757	719298274
J._M._Gordon	C	6966	708252751
Jane's_Addiction	C	47805	714938703
Jani_Lane	C	25012	719390981
Jerk_(band)	C	7523	698623221
Jessica_Sutta	C	23365	714638617
Jon_Bon_Jovi	C	33440	719055261
Jorge_Negrete	C	11873	718943092
Josh_Homme	C	66009	718229376
Julia_Stone	C	16463	698987081
Julius_La_Rosa	C	14915	718388664
Justice_Crew	C	34397	717184580
Kaskade	C	18061	718998697
Keith_Scott_(musician)	C	5723	714561961
Kelly_Osbourne	C	37615	717003731
Kjersti_Stubø	C	6217	705129431
Kuk_Harrell	C	42287	717796598
L.Stadt	C	13754	696039078
Laughing_Clowns	C	25465	688458980
Lily_Collins	C	20595	717813673
MC_Lyte	C	15455	718442582
Mani_Martin	C	5099	692594575
Matchbox_Twenty	C	25696	717109931
Max_Tundra	C	10804	705639284
Melvins	C	33998	719138889
Mily_Balakirev	C	50446	706895515
Naomi_Wenitong	C	12072	718904906
Nipsey_Hussle	C	23872	719191186
Overkill_(band)	C	38086	718947073
Paul_David_Wilson	C	34800	715754140
Plan_B_(musician)	C	26064	718642895
Pseudo_Echo	C	27924	710666253
Queen_Latifah	C	48274	718779476
Renée_Chen	C	11424	708074032
Rihanna	C	173240	718206804
Roxus	C	8163	694851654
Rush_(band)	C	94505	719436230
Ruslana	C	63923	717070403
Russ_Conway	C	8654	716070389
Ryan_Tedder	C	34928	718003714
SHeDAISY	C	15681	710499264
Sally_Seltmann	C	33107	711309400
Slađa_Guduraš	C	9697	717629622
Snoop_Dogg	C	88963	719323705
Steve_Aoki	C	34415	718802606
Steve_Burns	C	12196	719342800
Steve_Earle	C	30223	717674733
Stoneground	C	14408	688759985
Susanna_Hoffs	C	20816	718820262
The_Dave_Clark_Five	C	18208	719144554
The_Fab_Four_(tribute)	C	14782	712314104
The_New_Seekers	C	31237	719302116
The_Philisteins	C	13045	681078646
The_Weakerthans	C	14435	714691295
Third_World_(band)	C	20606	715249850
Uee	C	28314	718357919
VIXX	C	48254	719328391
Victor_Aloysius_Meyers	C	13821	718858749
You_Am_I	C	70000	711176268
Zak_Starkey	C	17548	719400434
Zameer_Rizvi	C	20144	717481942
2AM_(band)	B	23111	719156672
Amanda_Lear	B	52364	717533978
Antoine_de_Bertrand	B	6388	706563049
Ashley_Alexandra_Dupré	B	36707	713315701
At_the_Drive-In	B	36930	714381972
Bobby_Darin	B	31760	717562329
Bradley_Nowell	B	22037	719323874
Buck_Clayton	B	11781	705069680
Bugge_Wesseltoft	B	11139	705956733
Carmino_Ravosa	B	16852	715906636
Charlie_McMahon	B	32382	705401895
Charlie_Owen_(musician)	B	37231	715302980
Chicane_(musician)	B	34712	714725071
Claudio_Saracini	B	3082	705087856
Conlon_Nancarrow	B	18006	703199437
Daniel_Alomía_Robles	B	17449	719393293
Death_Angel	B	29096	719450944
Diana_Haddad	B	43039	718429300
Do_As_Infinity	B	25480	715206231
Donna_Summer	B	69341	718749466
Five_(band)	B	27147	707617683
Florin_Salam	B	17434	717666082
Francesco_Rovigo	B	4441	714556370
Francisco_Tárrega	B	11634	708819407
Franz_Schubert	B	72304	716360275
François-Adrien_Boieldieu	B	7062	717753089
Frederick_Bridge	B	17984	719323105
Giovanni_Girolamo_Kapsperger	B	10394	707242928
Glenn_Miller	B	76201	719044778
Graeme_Bell	B	21401	715787737
H._C._Robbins_Landon	B	19828	702890927
Henriette_Widerberg	B	14236	712731458
Hovercraft_(band)	B	16129	704282415
Humble_Pie_(band)	B	33026	711878004
JBO_(band)	B	4863	671926259
Jackie_Brenston	B	4246	708772689
Jaime_Nunó	B	4819	703420957
James_Jamerson	B	16601	715716800
Jason_Castro_(singer)	B	22804	719022693
Jedward	B	43009	717963978
Jessica_Simpson	B	85422	717787555
Joan_Baez	B	79706	719122569
Joe_Zawinul	B	19121	709649304
John_Coltrane	B	50308	718491094
Juan_Diego_Flórez	B	20242	699587092
Julian_Hamilton	B	14062	708615044
Kansas_(band)	B	40784	719308211
Klaxons	B	37155	709800136
Lea_Salonga	B	65333	719356573
Les_Paul	B	76501	719081871
Lionel_Richie	B	27669	717760696
Little_River_Band	B	76158	717870315
Louis-Désiré_Véron	B	3651	710258978
Luciano_Pavarotti	B	44036	713873511
Lydia_Canaan	B	56954	718972584
Madeline_Bell	B	8387	717354045
Mandawuy_Yunupingu	B	42178	703204894
Marcel_Khalife	B	21382	708246898
Mark_Lanegan	B	41067	708270934
Max_Boyce	B	22048	718845106
Mikhail_Glinka	B	19734	707864078
Milli_Vanilli	B	20140	718680600
Mo_Foster	B	23713	710921149
Neal_Hefti	B	28336	703884260
Nicolas_Payen	B	5708	712278927
Odetta	B	26922	719072443
Phiiliip	B	12940	714373994
Philip_Oakey	B	24626	719090807
Pierre_Cadéac	B	4815	712072118
Pietro_Aron	B	5619	703397456
Plácido_Domingo	B	85641	718123290
Ringo_Starr_&_His_All-Starr_Band	B	58362	717982689
Sandie_Shaw	B	21330	717593310
Sarah_Harding	B	32840	717257025
Shannon_Noll	B	45421	716398622
Skinny_Puppy	B	40077	718812887
Skitch_Henderson	B	11094	703472688
Sparta_(band)	B	18017	714885152
Spirit_(band)	B	34202	717729567
Styx_(band)	B	48520	718982506
Take_That	B	71615	719424691
Tarik_O'Regan	B	38255	710629829
Teo_Macero	B	20213	716335407
The_Ace_of_Cups	B	11085	697149206
The_Aquabats	B	80168	718559422
The_Dingoes	B	34200	708033436
The_Eternal_(band)	B	11446	715463082
The_Head_Shop	B	10225	686908787
The_Kooks	B	30926	715051805
The_Verve	B	39269	718738472
The_York_Brothers	B	13638	684083660
Tim_Commerford	B	21058	714746968
Urs_Bühler	B	9470	711212655
Vanessa_Hudgens	B	68279	716780818
W._C._Handy	B	37311	715263189
Walter_Willson_Cobbett	B	4540	704640126
Winifred_Atwell	B	19989	715054171
Wu-Tang_Clan	B	121067	719227819
Yanni	B	83469	716864522
Zwan	B	16937	715752356
Adam_Clayton	GA	26201	717825132
Adrian_Crowley	GA	31781	717580222
Aerosmith	GA	150147	719462126
Agnez_Mo	GA	50570	719070496
Amos_Lee	GA	22746	710039416
Anggun	GA	83170	718566547
Antestor	GA	42401	716001519
Arctic_Monkeys	GA	56062	719079941
Art_Farmer	GA	28846	715550171
Arthur_Sullivan	GA	121633	718891885
Ashley_Tisdale	GA	83101	716813623
Axl_Rose	GA	58266	719117422
Ayers_Rock_(band)	GA	77125	711296096
Bill_Szymczyk	GA	17233	714431467
Body_Count	GA	32935	711486515
Breaking_Benjamin	GA	78856	719239607
Bruce_Dickinson	GA	90908	719441485
Bruce_Jackson_(audio_engineer)	GA	52177	702751589
Bullet_for_My_Valentine	GA	53760	718742500
Cavalera_Conspiracy	GA	36759	718110874
Clay_Walker	GA	40194	712983864
Cliff_Williams	GA	20268	719183196
Clint_Black	GA	37254	717243297
Connie_Smith	GA	43966	718680349
Courtney_Love	GA	134168	719168189
DJ_AM	GA	32723	719352792
David_Hattner	GA	20381	707285027
David_L._Cook	GA	21569	716108979
David_Lucas_(composer)	GA	20695	659160848
Decapitated_(band)	GA	34789	717431016
DecembeRadio	GA	23004	707724041
Demi_Lovato	GA	104490	718401713
Devin_Townsend	GA	69551	716926934
Divine_Heresy	GA	16831	694661585
Doug_Anthony_All_Stars	GA	39164	716987032
Eddie_Bayers	GA	28945	717477449
Eddie_Costa	GA	26894	718387647
Eleanor_Sophia_Smith	GA	23893	710191871
Film_career_of_Audie_Murphy	GA	58513	711222109
Frank_Sinatra	GA	207201	718946425
Gilberto_Gil	GA	38294	716466277
Giuseppe_Verdi	GA	94321	716522965
Guto_Puw	GA	26022	716473155
Hayley_Westenra	GA	87205	716976102
Inon_Zur	GA	28298	718349971
James_Franco	GA	94513	718807964
Jon_Coghill	GA	15740	710299620
Junko_Sakurada	GA	30294	719017503
Junoon_(band)	GA	59414	716921584
KMFDM	GA	89293	716227567
Karlheinz_Stockhausen	GA	140058	710822821
Kelvin_Tan	GA	10205	718557108
Kenji_Ito	GA	21389	707794688
Krista_Branch	GA	20600	671605368
Lance_Bass	GA	59732	716096063
Lecrae	GA	61172	717846275
Led_Zeppelin	GA	89244	718654796
Lennie_Tristano	GA	39195	703414468
Lhasa_de_Sela	GA	19995	713505389
LiSA_(Japanese_musician,_born_1987)	GA	25719	716145709
Lightning_Bolt_(band)	GA	20999	714124744
M.I.A._(rapper)	GA	157481	719451651
Machine_Head_(band)	GA	48918	719342743
Mal_Evans	GA	42738	701186806
Malouma	GA	47555	716019963
Maria_Radner	GA	24048	709960777
Matthew_West	GA	32854	709017930
Michael_Salvatori	GA	9139	710740940
Mike_Shinoda	GA	46171	718949043
Mulgrew_Miller	GA	29809	718262606
Ne-Yo	GA	46079	719042690
News_(band)	GA	22438	714496230
Nobuo_Uematsu	GA	44933	717962404
Paul_Kelly_(Australian_musician)	GA	162799	716656716
Phil_Ochs	GA	76334	719406156
Phillip_Wilcher	GA	21988	712151093
Phillips'_Sound_Recording_Services	GA	19648	702231512
Rage_Against_the_Machine	GA	72897	719405207
Ricki-Lee_Coulter	GA	85593	718378261
Shannon_Leto	GA	24202	710252386
Shelly_Manne	GA	47040	718874972
Small_Mercies	GA	26242	715375296
Solange_Knowles	GA	51591	718790888
Soundgarden	GA	69490	719119378
Stavesacre	GA	15529	714596383
The_Amps	GA	22926	715567019
The_Cool_Kids	GA	20279	709287880
The_Cure	GA	59750	718947276
The_Electric_Prunes	GA	33163	717683449
The_Shirelles	GA	38327	716917543
The_Smeezingtons	GA	38922	718196270
The_Sword	GA	44119	715550539
The_Teen_Idles	GA	14362	714558050
Thin_Lizzy	GA	64419	719440862
Thrice	GA	35481	718560090
Timbaland	GA	53061	719319564
Tommy_Flanagan	GA	27369	712306208
Usher_(singer)	GA	128523	718443217
Van_der_Graaf_Generator	GA	58398	716084199
Wade_Mainer	GA	22592	705735993
AC/DC	FA	93165	719440290
Aaliyah	FA	145413	719282247
Adrian_Boult	FA	52483	716938047
Andrew_Johnston_(singer)	FA	31194	715359065
Arnold_Bax	FA	60683	714656317
Audie_Murphy	FA	69908	719447351
Audioslave	FA	77342	716354155
Ayumi_Hamasaki	FA	142578	717948817
Bedřich_Smetana	FA	70486	717476406
Benjamin_Britten	FA	122114	718656126
Big_Star	FA	54032	717730656
Bix_Beiderbecke	FA	74668	716115604
Black_Francis	FA	50215	719192531
Camille_Saint-Saëns	FA	89753	711630680
Canadian_drug_charges_and_trial_of_Jimi_Hendrix	FA	34494	706286397
Carl_Nielsen	FA	87728	715111854
Charles-Valentin_Alkan	FA	74718	715551344
Charles_Villiers_Stanford	FA	73111	714986304
Connie_Talbot	FA	56455	719316383
Damageplan	FA	22295	716943882
David_Bowie	FA	154760	719106410
David_Lovering	FA	15142	716805023
Death_of_Jimi_Hendrix	FA	49337	718852032
Dmitri_Shostakovich	FA	73236	719463078
Edward_Elgar	FA	112290	715589311
Elaine_Paige	FA	71325	718446574
Elliott_Smith	FA	82119	715966859
Ellis_Paul	FA	65416	711162107
Eusèbe_Jaojoby	FA	28165	709952639
Frank_Klepacki	FA	61377	719335209
Frank_Zappa	FA	127172	718122150
Frederick_Delius	FA	76998	715309881
Frédéric_Chopin	FA	99946	718921605
Gabriel_Fauré	FA	71802	707917542
Georg_Solti	FA	63132	718638776
George_Formby	FA	88402	719297812
Georges_Bizet	FA	61403	717368581
Godsmack	FA	48185	719276489
Gustav_Holst	FA	88777	715310579
Gustav_Mahler	FA	88331	719046561
Gwen_Stefani	FA	78353	719463394
Imogen_Holst	FA	60954	718412316
Insane_Clown_Posse	FA	116318	716030418
Jane_Joseph	FA	34913	718984005
Janet_Jackson	FA	164750	719414560
Jimi_Hendrix	FA	143154	718091083
Jo_Stafford	FA	75062	711898491
John_Barbirolli	FA	54955	705638034
John_Lennon	FA	126387	717277063
Josquin_des_Prez	FA	52013	715873888
Judy_Garland	FA	68957	719351741
Kate_Bush	FA	95453	719101582
Kathleen_Ferrier	FA	52996	714991816
Katy_Perry	FA	123643	719193873
Kellie_Loder	FA	33394	712438381
Kylie_Minogue	FA	133030	717400256
Leo_Ornstein	FA	31100	718510357
Mariah_Carey	FA	181711	719362716
Marie_Lloyd	FA	65359	702961570
Maynard_James_Keenan	FA	74299	718244090
Megadeth	FA	129186	719282561
Meshuggah	FA	75591	715335819
Metallica	FA	115982	719282411
Michael_Jackson	FA	223569	719180688
Mozart_in_Italy	FA	44137	706963431
Nick_Drake	FA	51461	719106544
Nine_Inch_Nails	FA	139556	716835688
Nirvana_(band)	FA	65673	718831480
Noël_Coward	FA	81623	713644038
Olivier_Messiaen	FA	69541	719173733
Opeth	FA	57145	717283054
Paul_McCartney	FA	198593	719187905
Pearl_Jam	FA	100409	719266366
Pierre_Monteux	FA	81253	717363830
Pink_Floyd	FA	142008	717697437
Powderfinger	FA	104499	711928072
Priyanka_Chopra	FA	147414	719348096
Pyotr_Ilyich_Tchaikovsky	FA	85712	718086044
Pyotr_Ilyich_Tchaikovsky_and_The_Five	FA	53421	681889935
Pyotr_Ilyich_Tchaikovsky_and_the_Belyayev_circle	FA	45955	713167766
R.E.M.	FA	71650	719455704
Rakoto_Frah	FA	28531	713644112
Ram_Narayan	FA	37379	714180896
Rebecca_Clarke_(composer)	FA	21741	719014030
Richard_Wagner	FA	103577	719084338
Ringo_Starr	FA	104430	717121833
Roger_Waters	FA	65263	718661020
Sasha_(DJ,_born_1969)	FA	55910	715892387
Steve_Lukather	FA	43498	718755933
Strapping_Young_Lad	FA	53186	712029899
The_Beatles	FA	156796	719130319
The_Cape_Race	FA	9458	647860423
The_Greencards	FA	44742	705680940
The_Notorious_B.I.G.	FA	66133	719079437
The_Supremes	FA	53160	717722759
Tool_(band)	FA	89335	719019508
U2	FA	111678	719028640
Walter_Bache	FA	33409	714676427
William_Walton	FA	60746	693769435
Witold_Lutosławski	FA	42168	709143579
